country;Pubmed ID;authors;Comparative study;participants (Cancer/ Control);material (source);function;Participants (cancer type);stage;number;gender (M / F);age mean (range) (M / F);smoking status;Participants (control);number.1;gender (M / F).1;age mean (range) (M / F).;smoking status.1;chromatography;ion source;positive/ negative mode;mass analyzer;Identification level;data processing software;database search;statistical difference method;classification method;survival analysis method;year;id
Spain;30292984;Callejon-Leblic et al. 2019;#1;NSCLC + SCLC vs. healthy;serum;diagnosis;NSCLC, SCLC;–;32;22, 8;66 ± 12;former, current, non-smoker;healthy;29;18, 11;56 ± 13;former, non-smoker;GC;EI;–;ion trap;–;XCMS;NIST Mass Spectral Library;PLS-LDA, one-way ANOVA;ROC curve analysis ;–;2019;11
Spain;30292984;Callejon-Leblic et al. 2019;#2;NSCLC + SCLC vs. healthy;urine;diagnosis;NSCLC, SCLC;–;32;22, 8;66 ± 12;former, current, non-smoker;healthy;29;18, 11;56 ± 13;former, non-smoker;GC;EI;–;ion trap;–;XCMS;NIST Mass Spectral Library;PLS-LDA, one-way ANOVA;ROC curve analysis ;–;2019;12
Spain;30292984;Callejon-Leblic et al. 2019;#3;NSCLC + SCLC vs. noncancerous lung diseases;bronchoalveolar lavage fluid ;diagnosis;NSCLC, SCLC;–;24;16, 8;65 ± 12;former, current;noncancerous lung diseases;30;25, 5;55 ± 15;former, current, non-smoker;GC;EI;–;ion trap;–;XCMS;NIST Mass Spectral Library;PLS-LDA, one-way ANOVA;ROC curve analysis ;–;2019;13
Spain;30439409;Callej?n-Leblic et al. 2019;#1;NSCLC + SCLC vs. healthy;blood;diagnosis;NSCLC, SCLC ;II, III, IV;30;25, 5; 67 ± 12;former, current, non-smoker;healthy;30;14, 16;56 ± 14 ;former, non-smoker;DI;ESI;negative;Q-TOF;MS/MS;–;HMDB, Metlin;PCA, PLS-DA, one-way ANOVA;ROC curve;–;2019;14
Spain;30439409;Callej?n-Leblic et al. 2019;#2;NSCLC + SCLC vs. healthy;blood;diagnosis;NSCLC, SCLC ;II, III, IV;30;25, 5; 67 ± 12;former, current, non-smoker;healthy;30;14, 16;56 ± 14 ;former, non-smoker;DI;ESI;positive;Q-TOF;MS/MS;–;HMDB, Metlin;PCA, PLS-DA, one-way ANOVA;ROC curve;–;2019;15
UK;26973212;Cameron et al. 2016;#1;NSCLC + SCLC + clinic-radiological diagnosis vs. healthy;sputum;diagnosis;NSCLC, SCLC, clinic-radiological diagnosis;I, II, III, IV;23;11, 12;66,6;former, current, non-smoker;healthy;33;20, 13;55,3;current, non-smoker;flow infusion;–;negative;FT-ICR;–;–;HMDB;ANOVA, Random Forest;ROC curve analysis;–;2016;16
UK;26973212;Cameron et al. 2016;#2;NSCLC + SCLC + clinic-radiological diagnosis vs. at-risk controls (not diagnosed with lung cancer at least one-year follow-up);sputum;diagnosis;NSCLC, SCLC, clinic-radiological diagnosis;I, II, III, IV;23;11, 12;66,6;former, current, non-smoker;at-risk controls (not diagnosed with lung cancer at least one-year follow-up);11;10, 1;66,5;former, current;flow infusion;–;negative;FT-ICR;–;–;HMDB;ANOVA, Random Forest;ROC curve analysis;–;2016;17
Italy;26559776;Capuano et al. 2015;#1;adenocarcinoma + squamous cancer cell vs. other lung diseases;exhaled breath (air);–;adenocarcinoma, squamous cell carcinoma;–;20;13, 7;67 ± 9;former, current, non-smoker;other lung diseases;10;4, 6;64 ± 7;former, current, non-smoker;GC;EI;–;quadrupole;–;GC-MS solutions software;NIST 127, NIST 147;Kruskal-Wallis rank test, PLS-DA;–;–;2015;18
China;25961003;Chen et al. 2015a;#1;adenocarcinoma + squamous cell carcinoma + large cell carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma, large cell carcinoma;I, II, III;30;9, 21;61.58 ± 10.67;–;healthy;30;11, 19;60.35 ± 12.48;–;LC;ESI;positive;Q-TOF;–;Mass Hunter Qualitative Analysis Software (Agilent Technologies);METLIN;independent t-test ;ROC curve analysis;–;2015;19
China;25961003;Chen et al. 2015a;#2;adenocarcinoma + squamous cell carcinoma + large cell carcinoma (preoperative) vs. adenocarcinoma + squamous cell carcinoma + large cell carcinoma (postoperative);serum;diagnosis;adenocarcinoma, squamous cell carcinoma, large cell carcinoma;I, II, III;30;9, 21;61.58 ± 10.67;–;before vs. after treatment (operation);30;9, 21;61.58 ± 10.67;–;LC;ESI;positive;Q-TOF;–;Mass Hunter Qualitative Analysis Software (Agilent Technologies);METLIN;independent t-test ;ROC curve analysis;–;2015;20
China;25961003;Chen et al. 2015a;#3;adenocarcinoma + squamous cell carcinoma + large cell carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma, large cell carcinoma;I, II, III;30;9, 21;61.58 ± 10.67;–;healthy;30;11, 19;60.35 ± 12.48;–;GC;–;–;–;–;GC/MSD ChemStation software (Agilent Technologies);NIST;independent t-test ;ROC curve analysis;–;2015;21
China;25961003;Chen et al. 2015a;#4;adenocarcinoma + squamous cell carcinoma + large cell carcinoma (preoperative) vs. adenocarcinoma + squamous cell carcinoma + large cell carcinoma (postoperative);serum;diagnosis;adenocarcinoma, squamous cell carcinoma, large cell carcinoma;I, II, III;30;9, 21;61.58 ± 10.67;–;before vs. after treatment (operation);30;9, 21;61.58 ± 10.67;–;GC;–;–;–;–;GC/MSD ChemStation software (Agilent Technologies);NIST;independent t-test ;ROC curve analysis;–;2015;22
China;25293627;Chen et al. 2015b;#1;preoperative lung cancer vs. healthy;serum;–;lung cancer;–;30;–;61.58 ± 10.67;–;healthy;30;–;60.35 ± 12.48;–;LC;ESI;positive;Q-TOF;–;Mass Hunter Qualitative Analysis Software (Agilent Technologies);METLIN;PCA, PLS-DA,  independent t test ;–;–;2015;23
China;25293627;Chen et al. 2015b;#2;preoperative lung cancer vs. postoperative lung cancer;serum;–;lung cancer;–;30;–;61.58 ± 10.67;–; before vs. after treatment (operation);30;–;61.58 ± 10.67;–;LC;ESI;positive;Q-TOF;–;Mass Hunter Qualitative Analysis Software (Agilent Technologies);METLIN;PCA, PLS-DA,  independent t test ;–;–;2015;24
China;25293627;Chen et al. 2015b;#3;postoperative lung cancer vs. healthy;serum;–;lung cancer (postoperative);–;30;–;61.58 ± 10.67;–;healthy;30;–;60.35 ± 12.48;–;LC;ESI;positive;Q-TOF;–;Mass Hunter Qualitative Analysis Software (Agilent Technologies);METLIN;PCA, PLS-DA,  independent t test ;–;–;2015;25
China;25293627;Chen et al. 2015b;#4;preoperative lung cancer vs. healthy;serum;–;lung cancer;–;30;–;61.58 ± 10.67;–;healthy;30;–;60.35 ± 12.48;–;GC;EI;–;quadrupole;–;ChemStation;NIST;PCA, PLS-DA,  independent t test ;–;–;2015;26
China;25293627;Chen et al. 2015b;#5;preoperative lung cancer vs. postoperative lung cancer;serum;–;lung cancer;–;30;–;61.58 ± 10.67;–; before vs. after treatment (operation);30;–;61.58 ± 10.67;–;GC;EI;–;quadrupole;–;ChemStation;NIST;PCA, PLS-DA,  independent t test ;–;–;2015;27
China;25293627;Chen et al. 2015b;#6;postoperative lung cancer vs. healthy;serum;–;lung cancer (postoperative);–;30;–;61.58 ± 10.67;–;healthy;30;–;60.35 ± 12.48;–;GC;EI;–;quadrupole;–;ChemStation;NIST;PCA, PLS-DA,  independent t test ;–;–;2015;28
China;29740076;Chen et al. 2018;#1;NSCLC vs. healthy;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;positive;Q-TOF;MS/MS;Analyst TF, XCMS; in-house;PCA, OPLS-DA;ROC curve;–;2018;29
China;29740076;Chen et al. 2018;#2;NSCLC vs. healthy;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;negative;Q-TOF;MS/MS;Analyst TF, XCMS; in-house;PCA, OPLS-DA;ROC curve;–;2018;30
China;29740076;Chen et al. 2018;#3;NSCLC vs. healthy;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;GC;EI;–;TOF;–;Chroma TOF;LECO-Fiehn Rtx 5 ;PCA, OPLS-DA;ROC curve;–;2018;31
China;29740076;Chen et al. 2018;#4;NSCLC vs. healthy;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;both;Q-TOF;–;Analyst TF, XCMS ;–; Student’s t-test;ROC curve;–;2018;32
US;26282632;Fahrmann et al. 2015;#1;adenocarcinoma vs. healthy;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;random forest;–;2015;33
US;26282632;Fahrmann et al. 2015;#2;adenocarcinoma vs. healthy;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;random forest;–;2015;34
US;26282632;Fahrmann et al. 2015;#3;adenocarcinoma vs. healthy;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;random forest;–;2015;35
US;26282632;Fahrmann et al. 2015;#4;adenocarcinoma vs. healthy;plasma;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;random forest;–;2015;36
Austria;24862102;Filipiak et al. 2014;#1;small-cell LC + squamous-cell LC + adenocarcinoma + large-cell carcinoma + mesothelioma + carcinoid	vs. healthy;exhaled breath;diagnosis;SCLC, squamous cell carcinoma, adenocarcinoma, large cell carcinoma, mesothelioma, carcinoid	;–;36;25, 11;63 ± 7;former, non-smoker ;healthy;28;12, 16;52 ± 17;former, non-smokers;GC;–;–;–;–;–;NIST 2005;Kruskal–Wallis test, Spearman;Kruskal–Wallis test, Spearman;–;2014;37
Austria;24862102;Filipiak et al. 2014;#2;NSCLC + SCLC (tumor tissue) vs. NSCLC + SCLC (normal tissue);tissue;diagnosis;NSCLC, SCLC;I, II, III, IV;14;6, 8;67.7, 63.4;smoker, non-smoker;tumor vs. adjacent normal tissue;13;12, 16;52 ± 17;former, non-smokers;GC;–;–;–;–;–;NIST 2005;Kruskal–Wallis test, Spearman;Kruskal–Wallis test, Spearman;–;2014;38
Germany;19839051;Fuchs et al. 2010;#1;NSCLC + SCLC vs. healthy;exhaled breath;diagnosis;NSCLC, SCLC;–;12;11, 1;–;–;healthy;24;10, 14;–;smoker, non-smoker;GC;EI;–;–;–;–;–;Kruskal–Wallis;–;–;2010;39
Germany;19839051;Fuchs et al. 2010;#2;NSCLC + SCLC vs. healthy;exhaled breath;diagnosis;NSCLC, SCLC;–;12;11, 1;–;–;healthy;24;10, 14;–;smoker, non-smoker;GC;EI;–;–;–;–;–;–;–;–;2010;40
China;22906735;Guo et al. 2012;#1;adenocarcinoma + squamous cell cancer + small cell carcinoma  vs. healthy ;serum;diagnosis;adenocarcinoma, squamous cell carcinoma, SCLC;I, II, III, IV;58;39, 19;52 ± 12 / 52 ± 12;–;healthy;495;251, 244;61 ± 10 / 63 ± 12;–;DI;ESI;positive;FT-ICR;MS/MS ;–;HMDB, Lipid maps;PLS-DA, ;ROC curve;–;2012;41
Canada;27073350;Hao et al. 2016;#1;lung cancer patients undergoing chemotherapy (before radiation treatment) vs. lung cancer patients undergoing chemotherapy (after radiation treatment);serum;diagnosis;lung cancer;I, II, III, IV;25;15, 10;64 (42-77);smoker, non-smoker; before vs. after treatment (radiation treatment);–;–;–;smoker, non-smoker;GC;–;–;TOF;–;Chenomx NMR Suite 7.1, Metabolite Detector;HMDB;OPLS-DA, CV-ANOVA;–;–;2016;42
Canada;27073350;Hao et al. 2016;#2;lung cancer patients undergoing chemotherapy (before radiation treatment) vs. lung cancer patients undergoing chemotherapy (after radiation treatment);serum;diagnosis;lung cancer;I, II, III, IV;25;15, 10;64 (42-77);smoker, non-smoker; before vs. after treatment (radiation treatment);–;–;–;smoker, non-smoker;–;–;–;NMR;–;Chenomx NMR Suite 7.1, Metabolite Detector;–;OPLS-DA, CV-ANOVA;–;–;2016;43
China;27217771;Huang et al. 2016;#1;lung cancer vs. healthy;dried blood spot;diagnosis;lung cancer;–;222;94, 128;median: 57.47 (27-81);–;healthy;96;30, 66;median: 56.07 (32-80);–;LC;ESI;positive;QTrap;MS/MS;Analyst software, ChemoView software;–;PLS-DA, ANOVA, student’s t-test;–;–;2016;44
China;27217771;Huang et al. 2016;#2;benign lung disease vs. healthy;dried blood spot;diagnosis;benign lung disease;–;118;55, 63;median: 59.61 (32-80);–;healthy;96;30, 66;median: 56.07 (32-80);–;LC;ESI;positive;QTrap;MS/MS;Analyst software, ChemoView software;–;PLS-DA, ANOVA, student’s t-test;–;–;2016;45
China;31442449;Huang et al. 2019;#1;lung cancer vs. healthy;plasma;diagnosis;lung cancer;–;31;19, 12;28-64;–;healthy;35;24, 11;23-60;–;LC;ESI;negative;Q-Orbitrap;MS/MS;XCMS;OSI-SMMS;OPLS-DA, Mann-Whitney U test;–;–;2019;46
China;31442449;Huang et al. 2019;#2;lung cancer vs. healthy;plasma;diagnosis;lung cancer;–;31;19, 12;28-64;–;healthy;35;24, 11;23-60;–;LC;ESI;positive;Q-Orbitrap;MS/MS;XCMS;OSI-SMMS;OPLS-DA, Mann-Whitney U test;–;–;2019;47
Poland;27597283;Klupczynska et al. 2016a;#1;adenocarcinoma + squamous cell carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma;I, II, III;90;58, 32;64 (48-86);current, non-smoker, unknown;healthy;63;41, 22;62 (43-78);smoker, non-smoker, unknown;LC;–;–;QTRAP;MS/MS;–;–;t-test, Welch’s t-test or the Mann-Whitney U test, one-way ANOVA;ROC curve analysis (Monte-Carlo cross validation), discriminant function analysis;–;2016;48
Poland;27454081;Klupczynska et al. 2016b;#1;squamous cell carcinoma + adenocarcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma;I, II, III;90;58, 32;64 ± 6.9;smoker, non-smoker, unknown;healthy;62;40, 22;62 ± 8.8;smoker, non-smoker, unknown;LC;ESI;negative;triple quadrupole;MS/MS;Analyst software;–;Mann-Whitney U test;ROC curve analysis ;–;2016;49
Poland;28168355;Klupczynska et al. 2017;#1;adenocarcinoma + squamous cell carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma;I, II;50;28, 22;65 (53-86);–;healthy;25;14, 11;64 (50-78);–;LC;ESI;positive;Q-Orbitrap;MS/MS ;MZmine 2.19 software;In-house library, HMDB, mzCloud;t-test;ROC curve analysis (Monte-Carlo cross validation);–;2017;50
Poland;31264112;Klupczynska et al. 2019;#1;adenocarcinoma + squamous cell carcinoma vs. noncancerous lung diseases;serum;diagnosis;adenocarcinoma, squamous cell carcinoma;I;20;11, 9;62 ± 5;smoker, non-smoker;noncancerous lung diseases;20;8, 16;63 ± 6;smoker, non-smoker;flow infusion;–;–;QTRAP;MS/MS;Analyst;–;Wilcoxon rank-sum test;ROC analysis;–;2019;51
China;25117182;Lam et al. 2014;#1;NSCLC + SCLC + anaplastic carcinoma + with atypical cells vs. pulmonary tuberculosis;pleural effusion;diagnosis;NSCLC, SCLC, anaplastic carcinoma;–;32;13, 19;72.8 ± 11.4;smoker, non-smoker; pulmonary tuberculosis;18;10, 8;59.7 ± 25.2 ;smoker, non-smoker;LC;ESI;both;TripleTOF;MS/MS;PeakView, LipidView (AB SCIEX),  XCMS;HMDB;t-test, OPLS-DA;ROC curve analysis ;–;2014;52
China;24856296;Li et al. 2014;#1;SCLC + NSCLC vs. healthy;serum;diagnosis;SCLC, NSCLC;–;23;12, 11;63.0 ± 9.8 / 59.4 ± 5.8;–;healthy;23;11, 12;51.0 ± 11.1 / 56.3 ± 14.3;–;LC;–;positive;Q-TOF;MS/MS;MarkerLynx;METLIN, HMDB, KEGG;PCA, PLS-DA, OSC-PLS-DA, student’s t-test;ROC curve analysis ;–;2014;53
China;24856296;Li et al. 2014;#2;SCLC + NSCLC vs. healthy;serum;diagnosis;SCLC, NSCLC;–;23;12, 11;63.0 ± 9.8 / 59.4 ± 5.8;–;healthy;23;11, 12;51.0 ± 11.1 / 56.3 ± 14.3;–;LC;–;negative;Q-TOF;MS/MS;MarkerLynx;METLIN, HMDB, KEGG;PCA, PLS-DA, OSC-PLS-DA, student’s t-test;ROC curve analysis ;–;2014;54
China;24856296;Li et al. 2014;#3;SCLC + NSCLC vs. healthy;serum;diagnosis;SCLC, NSCLC;–;23;12, 11;63.0 ± 9.8 / 59.4 ± 5.8;–;healthy;23;11, 12;51.0 ± 11.1 / 56.3 ± 14.3;–;LC;–;both;Q-TOF;MS/MS;MarkerLynx;METLIN, HMDB, KEGG;PCA, PLS-DA, OSC-PLS-DA, student’s t-test;ROC curve analysis ;–;2014;55
US;26233567;Li et al. 2015;#1;lung cancer vs. healthy;exhaled breath;diagnosis;lung cancer;I, II, III, IV;85;46, 39;66.12 ± 10.1;former, current, non-smoker;healthy;85;43, 42;42.15 ± 14.2;current, non-smoker;DI;nano-ESI;–;LTQ-FT-ICR;MS/MS;–;–;Kruskal-Wallis test;ROC curve;–;2015;56
US;26233567;Li et al. 2015;#2;lung cancer vs. healthy smoker;exhaled breath;diagnosis;lung cancer;I, II, III, IV;85;46, 39;66.12 ± 10.1;former, current, non-smoker;healthy;45;–;–;current;DI;nano-ESI;–;LTQ-FT-ICR;MS/MS;–;–;Kruskal-Wallis test;ROC curve;–;2015;57
US;26233567;Li et al. 2015;#3;lung cancer vs. healthy nonsmoker;exhaled breath;diagnosis;lung cancer;I, II, III, IV;85;46, 39;66.12 ± 10.1;former, current, non-smoker;healthy;40;–;–;non-smoker;DI;nano-ESI;–;LTQ-FT-ICR;MS/MS;–;–;Kruskal-Wallis test;ROC curve;–;2015;58
China;26404114;Li et al. 2015;#1; adenocarcinoma + squamous cell lung carcinoma (tumor tissue) vs. adenocarcinoma + squamous cell lung carcinoma (normal tissue);tissue;diagnosis;adenocarcinoma, squamous cell carcinoma;–;52;–;–;–;tumor vs. adjacent normal tissue;21;–;–;–;LC;AFADESI;both;Q-Orbitrap, Q-TOF;MS/MS;Markerview (AB SCIEX);LIPID MAPS, Massbank, HMDB, METLIN;t-test, PLS-DA, OPLS-DA;ROC curve analysis ;–;2015;59
Austria;19397483;Ligor et al. 2009;#1;small cell + non-small cell + mesothelioma + carcinoid vs. healthy;exhaled breath;diagnosis;SCLC, NSCLC, mesothelioma, carcinoid;–;65;41, 24;–;former, current, non-smoker;healthy;31;–;–;former, current, non-smoker;GC;EI;–;–;–;–;NIST 2005;–;–;–;2009;60
China;24321761;Liu et al. 2014;#1;NSCLC + SCLC vs. tuberculous pleurisy + pneumonia;pleural effusion;diagnosis;NSCLC, SCLC;–;20;16, 4;73 (53-85);–;tuberculous pleurisy, pneumonia;20;14, 6;63.6 (44-86);–;GC;EI;positive;single quad;–;–;NIST02 library ;Student's t-test, corrected t-test;–;–;2014;61
Russia;23212094;Lokhov et al. 2012;#1;lung cancer vs. healthy;plasma;diagnosis;lung cancer;I, II, III, IV;100;88, 12;median: 60 (44-76);smoker, non-smoker;healthy;100;89, 11;median: 59 (37-71);smoker, non-smoker;DI;ESI;both;Q-TOF;–;DataAnalysis ;Human Metabolome Database, Metlin Database, NIST Chemistry WebBook Database;odds ratio;–;–;2012;62
Japan;21176209;Maeda et al. 2010;#1;NSCLC vs. healthy;plasma;–;NSCLC;I, II, III, IV;141;93, 48;62.7 ± 9.2;former, current, non-smoker ;healthy;423;279, 144;61.1 ± 8.7;former, current, non-smoker;LC;ESI;positive ;quadrupole;–;Xcalibur ;–; Mann-Whitney U-test, PCA;ROC curve;–;2010;63
US;24736543;Mathe et al. 2014;#1;NSCLC vs. healthy;urine;diagnosis, prognosis;NSCLC;I, II, III, IV;469;237, 232;66,2;smoker, non-smoker;healthy;536;276, 260;66,6;–;LC;ESI;–;Q-TOF;MS/MS;R package XCMS ;METLIN, HMDB ;Non-parametric Wilcoxon test;random forest;Cox proportional hazards regression;2014;64
US;26762741;Mazzone et al. 2016;#1;adenocarcinoma + squamous cell carcinoma vs. at-risk controls ;serum;–;adenocarcinoma, squamous cell carcinoma;I, II, III;94;52, 42;68,7;–;at-risk controls ;190;96, 94;66,2;–;GC;EI;–;quadrupole;MS/MS; Metabolon LIMS system; Metabolon LIMS system;two- sample independent t test ;–;–;2016;65
US;26762741;Mazzone et al. 2016;#2;adenocarcinoma + squamous cell carcinoma vs. at-risk controls ;serum;–;adenocarcinoma, squamous cell carcinoma;I, II, III;94;52, 42;68,7;–;at-risk controls ;190;96, 94;66,2;–;LC;ESI;positive;linear ion-trap;MS/MS; Metabolon LIMS system; Metabolon LIMS system;two- sample independent t test ;–;–;2016;66
US;26762741;Mazzone et al. 2016;#3;adenocarcinoma + squamous cell carcinoma vs. at-risk controls ;serum;–;adenocarcinoma, squamous cell carcinoma;I, II, III;94;52, 42;68,7;–;at-risk controls ;190;96, 94;66,2;–;LC;ESI;negative;linear ion-trap;MS/MS; Metabolon LIMS system; Metabolon LIMS system;two- sample independent t test ;–;–;2016;67
US;25859693;Miyamoto et al. 2015;#1;adenocarcinoma vs. healthy;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;Analysis of Covariance;–;–;2015;68
US;25859693;Miyamoto et al. 2015;#2;NSCLC + SCLC + mesothelioma + secondary metastasis to lung + other vs. healthy;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;Analysis of Covariance;–;–;2015;69
Spain;30099851;Moreno et al. 2018;#1;adenocarcinoma (tumor tissue) vs. adenocarcinoma (normal tissue);tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;paired two-sample t-test, PLS-DA;–;–;2018;70
