Metabolite;metabolite name;metabolite (paper);(metabolite name);adduct;PUBCHEM ID;HMDB ID;Average Molecular Weight;Monisotopic Molecular Weight;KEGG;Pathway;sub-pathway;M/Z;Specimen;function;participantsn(cancer type);stage;number;gender (M TEXT, F);age mean(range) (M / F);smoking status;participantsn(control);number.1;gender (M / F);age mean(range) (M / F).;smoking status.1;Chromatography;Ion source;Positive/Negative mode;Mass analyzer;Identification level;Data processing software;Database search;statistical software;statistical difference method;mean concentration (case);mean  concentration (control);fold change n(case/ control);RAW p-value;FDR;VIP;Classification method;Cutoff value;AUROC (95%CI);Sensitivity (%);Specificity (%);Accuracy (%);Survival analysis method;time cut-offs (<=/>);HR (95%CI);p-value;FDR.1;Country;author-emphasized biomarkers;other information;Pubmed ID;Authors;id;;
4OHE1;4OHE1;4OHE1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,21;0,23;0,9130434783;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;11;;
2OME2;2OME2;2OME2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,26;0,32;0,8125;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;12;;
C4-carnitine;C4-carnitine;C4-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,27;0,27;1;0,059;–;–;ROC analysis;–;0,338;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;13;;
C16-carnitine;C16-carnitine;C16-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,28;0,25;1,12;0,08;–;–;ROC analysis;–;0,644;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;14;;
C16-carnitine;C16-carnitine;C16-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,38;0,17;2,2352941176;0,001;–;–;ROC analysis;–;0,858;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;15;;
4OHE1;4OHE1;4OHE1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,39;0,7;0,5571428571;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;16;;
2OME1;2OME1;2OME1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,51;0,62;0,8225806452;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;17;;
C4-carnitine;C4-carnitine;C4-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,54;0,2;2,7;0,001;–;–;ROC analysis;–;0,879;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;18;;
2OHE2;2OHE2;2OHE2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,71;0,76;0,9342105263;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;19;;
C3-carnitine;C3-carnitine;C3-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,77;0,77;1;0,429;–;–;ROC analysis;–;0,432;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;20;;
2OME2;2OME2;2OME2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,88;1,13;0,7787610619;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;21;;
2OHE2;2OHE2;2OHE2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;1,28;1,82;0,7032967033;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;22;;
C3-carnitine;C3-carnitine;C3-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;1,3;0,55;2,3636363636;0,001;–;–;ROC analysis;–;0,869;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;23;;
2OME1;2OME1;2OME1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;1,47;1,73;0,8497109827;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;24;;
2OHE1;2OHE1;2OHE1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;1,86;1,96;0,9489795918;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;25;;
E3;E3;E3;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;2,57;2,88;0,8923611111;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;26;;
2OHE1;2OHE1;2OHE1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;2,69;4,1;0,656097561;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;27;;
E3;E3;E3;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;3,53;4,87;0,7248459959;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;28;;
E1;E1;E1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;6,1;5,84;1,0445205479;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;29;;
E1;E1;E1;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;8,48;9,79;0,8661899898;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;30;;
C2-carnitine;C2-carnitine;C2-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;8,52;8,31;1,0252707581;0,243;–;–;ROC analysis;–;0,437;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;31;;
C2-carnitine;C2-carnitine;C2-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;8,69;6,8;1,2779411765;0,205;–;–;ROC analysis;–;0,609;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;32;;
E2;E2;E2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;8,98;9,18;0,9782135076;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;33;;
E2;E2;E2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;15,12;20,86;0,7248322148;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;34;;
methionine;methionine;methionine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;21,02;32,55;0,6457757296;0,001;–;–;ROC analysis;–;0,076;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;35;;
citrulline;citrulline;citrulline;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;23,41;40,8;0,5737745098;0,001;–;–;ROC analysis;–;0,103;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;36;;
methionine;methionine;methionine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;27,22;30,24;0,9001322751;0,027;–;–;ROC analysis;–;0,316;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;37;;
citrulline;citrulline;citrulline;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;32;37,12;0,8620689655;0,01;–;–;ROC analysis;–;0,277;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;38;;
histidine;histidine;histidine;–;–;–;HMDB0000177;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;84,06;104,19;0,8067952779;0,003;–;–;ROC analysis;–;0,242;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;39;;
tyrosine;tyrosine;tyrosine;–;–;–;HMDB0000158;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;92,47;94,31;0,9804898738;0,647;–;–;ROC analysis;–;0,481;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;40;;
phenylalanine;phenylalanine;phenylalanine;–;–;–;HMDB0000159;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;95,76;102,74;0,9320615145;0,261;–;–;ROC analysis;–;0,398;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;41;;
phenylalanine;phenylalanine;phenylalanine;–;–;–;HMDB0000159;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;97,25;67,13;1,4486816624;0,001;–;–;ROC analysis;–;0,841;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;42;;
leucine;leucine;leucine;–;–;–;HMDB0000687;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;101,11;120,3;0,840482128;0,001;–;–;ROC analysis;–;0,25;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;43;;
tyrosine;tyrosine;tyrosine;–;–;–;HMDB0000158;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;114,95;86,28;1,3322902179;0,001;–;–;ROC analysis;–;0,766;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;44;;
histidine;histidine;histidine;–;–;–;HMDB0000177;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;122,48;98;1,2497959184;0,001;–;–;ROC analysis;–;0,754;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;45;;
alanine;alanine;alanine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;126,29;127,9;0,9874120407;0,704;–;–;ROC analysis;–;0,467;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;46;;
leucine;leucine;leucine;–;–;–;HMDB0000687;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;129,4;115,71;1,1183130239;0,009;–;–;ROC analysis;–;0,642;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;47;;
valine;valine;valine;–;–;–;HMDB0000883;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;136,6;165,03;0,8277282918;0,001;–;–;ROC analysis;–;0,183;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;48;;
guanosine;guanosine;guanosine;–;–;–;HMDB0000133;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;138,6111111111;142,3;0,9740766768;0,557818485;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;49;;
ornithine;ornithine;ornithine;–;–;–;HMDB0000214;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;139,6;133,13;1,0485991136;0,822;–;–;ROC analysis;–;0,481;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;50;;
arginine;arginine;arginine;–;–;–;HMDB0000517;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;139,89;119,89;1,1668195846;0,012;–;–;ROC analysis;–;0,716;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;51;;
alanine;alanine;alanine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;146,5;135,48;1,0813404193;0,934;–;–;ROC analysis;–;0,505;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;52;;
valine;valine;valine;–;–;–;HMDB0000883;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;150,73;171,69;0,8779195061;0,009;–;–;ROC analysis;–;0,299;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;53;;
